S.no,credit_amount
1,770
2,7002
3,3278
4,3678
5,3893
6,3052
7,5696
8,1176
9,525
10,1706
11,3618
12,576
13,4270
14,1099
15,8408
16,5341
17,6007
18,4257
19,3850
20,3020
21,3100
22,878
23,839
24,522
25,4731
26,1968
27,2048
28,1319
29,5429
30,4526
31,3844
32,3615
33,645
34,4784
35,1818
36,5918
37,5363
38,2394
39,4432
40,3875
41,3907
42,1020
43,2603
44,2985
45,6822
46,1903
47,2691
48,1068
49,3414
50,2435
51,1742
52,3118
53,1612
54,3583
55,1944
56,1984
57,2473
58,2607
59,3992
60,1146
61,3550
62,1460
63,1209
64,3771
65,2822
66,1401
67,5242
68,3113
69,3296
70,2329
71,3377
72,7349
73,5744
74,2346
75,1918
76,1797
77,6112
78,1382
79,5445
80,2707
81,5769
82,3343
83,3113
84,939
85,6037
86,2794
87,1711
88,7221
89,4785
90,5173
91,2467
92,5253
93,1930
94,2732
95,2737
96,1595
97,4623
98,1725
99,2712
100,1341
101,2471
102,3316
103,3272
104,1493
105,2607
106,7323
107,380
108,1019
109,10403
110,2315
111,1237
112,785
113,5302
114,6461
115,4786
116,6153
117,2283
118,4852
119,8546
120,1252
121,1618
122,1519
123,6058
124,888
125,4080
126,2157
127,3895
128,3077
129,6019
130,7596
131,3124
132,1895
133,6972
134,4291
135,2094
136,1622
137,1087
138,1693
139,2122
140,1921
141,4043
142,2568
143,1010
144,3315
145,2151
146,3613
147,3217
148,2018
149,1759
150,1337
151,2251
152,3515
153,2185
154,1671
155,8266
156,2379
157,1009
158,2317
159,2073
160,2585
161,3069
162,2384
163,1773
164,4755
165,2202
166,1865
167,1451
168,1859
169,5748
170,685
171,7354
172,2195
173,2938
174,1299
175,2190
176,1611
177,4029
178,3912
179,3165
180,5859
181,4186
182,4660
183,3710
184,1201
185,3593
186,753
187,3045
188,8667
189,5933
190,6093
191,6007
192,2093
193,1181
194,6795
195,2610
196,7556
197,3193
198,2027
199,2674
200,2313
201,3097
202,3784
203,6902
204,1966
205,3628
206,3522
207,2902
208,6137
209,2783
210,5440
211,3970
212,3211
213,4880
214,3288
215,2887
216,10803
217,2404
218,3946
219,4599
220,4474
221,1656
222,7457
223,1368
224,1980
225,4784
226,2368
227,1331
228,6467
229,3487
230,1498
231,1965
232,1076
233,1346
234,1516
235,831
236,4345
237,806
238,1810
239,6367
240,6405
241,4241
242,1848
243,2941
244,1710
245,1497
246,7573
247,3046
248,2686
249,1709
250,3519
251,3047
252,7725
253,3112
254,6247
255,663
256,5343
257,3639
258,2052
259,4603
260,1898
261,1462
262,3309
263,2320
264,3297
265,1036
266,3361
267,3596
268,4000
269,7281
270,2533
271,1377
272,3962
273,4694
274,6062
275,3130
276,2447
277,1276
278,2186
279,2499
280,2394
281,5679
282,8659
283,5068
284,6052
285,3945
286,1396
287,6320
288,1458
289,4553
290,2492
291,2320
292,1421
293,2621
294,5750
295,1716
296,752
297,4685
298,949
299,5577
300,5973
