S.no,credit_amount
1,1240
2,5274
3,2599
4,4418
5,5669
6,3145
7,6157
8,1211
9,809
10,1825
11,3737
12,1516
13,4830
14,1043
15,7502
16,6977
17,6566
18,3959
19,3043
20,2653
21,1985
22,1239
23,991
24,1048
25,5053
26,1598
27,2245
28,1606
29,4853
30,4591
31,3905
32,3884
33,1110
34,3818
35,2164
36,6192
37,4819
38,2793
39,3670
40,4079
41,3709
42,992
43,2515
44,2755
45,6665
46,2220
47,2693
48,1564
49,3442
50,2129
51,1993
52,3022
53,1785
54,4661
55,1486
56,1726
57,2790
58,2631
59,3913
60,1277
61,3494
62,1279
63,955
64,4204
65,2493
66,1909
67,5737
68,3250
69,2794
70,2641
71,3770
72,6708
73,5689
74,2325
75,2531
76,1848
77,5733
78,1570
79,5652
80,3588
81,5775
82,2709
83,2384
84,1029
85,6057
86,2464
87,2883
88,6425
89,4314
90,5496
91,3200
92,5437
93,2451
94,2395
95,2790
96,2002
97,4696
98,2227
99,2176
100,1334
101,2078
102,3348
103,3433
104,1310
105,2466
106,7487
107,1218
108,1247
109,7746
110,2246
111,1538
112,1327
113,5448
114,6033
115,4425
116,5728
117,2220
118,3251
119,6166
120,1386
121,1662
122,1653
123,6170
124,1061
125,4249
126,2110
127,4305
128,2922
129,5593
130,6665
131,2574
132,1683
133,7062
134,4185
135,2049
136,1411
137,1153
138,1689
139,2441
140,1553
141,4675
142,3013
143,1341
144,2417
145,2183
146,4313
147,3305
148,2353
149,1860
150,1202
151,1683
152,3078
153,1658
154,2069
155,8644
156,2390
157,1304
158,1563
159,2424
160,2379
161,2547
162,1982
163,2320
164,5896
165,2147
166,2109
167,1420
168,2921
169,6033
170,923
171,7728
172,2698
173,2739
174,1199
175,2129
176,1367
177,4727
178,4405
179,2792
180,6313
181,4689
182,4594
183,4470
184,1394
185,2979
186,1108
187,2446
188,7810
189,5349
190,5594
191,4596
192,1690
193,1185
194,6193
195,2457
196,7585
197,3887
198,1851
199,2803
200,2957
201,3542
202,4097
203,6807
204,2188
205,4154
206,3115
207,3224
208,6558
209,2774
210,3149
211,4513
212,3684
213,6092
214,2325
215,2837
216,8070
217,2558
218,3776
219,3910
220,4987
221,1256
222,6684
223,1853
224,2145
225,4059
226,1346
227,1325
228,5330
229,4638
230,1471
231,2543
232,1073
233,1579
234,1230
235,1081
236,4657
237,1384
238,2079
239,6210
240,6690
241,3668
242,2167
243,2485
244,1750
245,1260
246,7977
247,2882
248,2600
249,1662
250,3816
251,2408
252,7905
253,3463
254,6672
255,1209
256,5114
257,5054
258,1935
259,5713
260,2734
261,1926
262,3524
263,2262
264,2993
265,1673
266,4791
267,4407
268,3582
269,7448
270,2755
271,1196
272,3811
273,4357
274,5586
275,4811
276,2319
277,1745
278,1880
279,2088
280,2279
281,6101
282,7222
283,4770
284,6042
285,4138
286,1430
287,6299
288,1919
289,4237
290,2120
291,2768
292,1462
293,2793
294,6722
295,1517
296,1424
297,4408
298,1171
299,6118
300,6066
